0212_4_aru.csv
x,y,z,r,p,y,ori,ms,dpth,t
-1.30587,-0.615511,0.429549,0.825928,-3.12154,-3.14116,2.3157,0.017694,0.961891,22.5431,
-1.32287,-0.625259,0.436671,0.818078,2.69436,-3.08908,2.35692,0.0135169,0.962168,22.5605,
-1.3073,-0.605866,0.439873,0.804468,2.70594,-3.11785,2.36235,0.0118821,0.962239,22.5767,
-1.31611,-0.596775,0.436478,1.10753,2.96948,-3.02166,2.05111,0.0118864,0.961944,22.5922,
-1.32888,-0.616223,0.437125,0.82319,2.69787,-3.0886,2.35164,0.0110385,0.962235,22.606,
-1.32218,-0.599961,0.435043,0.915025,2.87429,-3.09796,2.24137,0.0146911,0.962004,22.6237,
-1.32449,-0.595984,0.434789,0.918989,2.87994,-3.0969,2.23711,0.0113144,0.961893,22.6377,
-1.32521,-0.592068,0.433373,0.920613,2.9653,-3.10296,2.22841,0.0143569,0.961853,22.6559,
-1.32777,-0.588247,0.433065,0.925865,2.97173,-3.10163,2.22291,0.0161545,0.961491,22.6763,
-1.3449,-0.599849,0.433898,0.933238,2.76508,-3.09664,2.23473,0.0139647,0.961368,22.694,
-1.33307,-0.582525,0.434541,0.936625,2.89834,-3.09339,2.21856,0.0149603,0.961859,22.7124,
-1.33552,-0.578586,0.43455,0.942687,2.90384,-3.0923,2.21223,0.0106993,0.96138,22.7257,
-1.33803,-0.574718,0.434517,0.949293,2.90971,-3.0911,2.20534,0.0157945,0.96138,22.7446,
-1.34066,-0.570907,0.434641,0.956438,2.91543,-3.0899,2.19793,0.0105345,0.961265,22.7582,
-1.34561,-0.564749,0.436123,1.10459,2.89078,-3.06952,2.05643,0.0127125,0.961384,22.774,
-1.34793,-0.560653,0.435312,1.10967,2.89665,-3.06815,2.05095,0.0124838,0.961065,22.7911,
-1.35356,-0.569784,0.437332,0.845938,2.76191,-3.13252,2.31351,0.0117972,0.961836,22.8065,
-1.36419,-0.571336,0.435658,0.997841,2.79646,-3.08104,2.17073,0.0100377,0.961832,22.8197,
-1.37685,-0.580955,0.436599,0.914088,2.64145,-3.12152,2.26296,0.00951028,0.961715,22.8321,
-1.36959,-0.564035,0.43715,1.01454,2.70063,-3.10456,2.16207,0.0110586,0.961475,22.8498,
-1.35466,-0.542736,0.438937,0.991427,2.82442,-3.10966,2.16887,0.0102398,0.96171,22.8652,
-1.37146,-0.550303,0.437025,1.10842,2.81999,-3.06699,2.06181,0.0130813,0.961877,22.8843,
-1.36473,-0.549674,0.431702,0.6924,3.13681,3.12295,2.44918,0.0191581,0.962141,22.9064,
-1.37647,-0.544897,0.438036,1.11547,2.8034,-3.06335,2.05786,0.00996709,0.962515,22.9205,
-1.37807,-0.54126,0.439729,1.12086,2.82561,-3.06777,2.0487,0.00984812,0.963069,22.9338,
-1.37061,-0.539797,0.433713,0.704754,3.12285,3.12269,2.43673,0.00958538,0.963406,22.947,
-1.36885,-0.523879,0.440697,1.00508,2.80146,-3.10487,2.1587,0.0099268,0.962876,22.9598,
-1.38274,-0.535023,0.438095,0.980305,2.83885,-3.0887,2.18178,0.0115461,0.963497,22.9763,
-1.37582,-0.528899,0.433272,0.714111,3.11082,3.12687,2.42736,0.0111902,0.963822,22.9923,
-1.37465,-0.513626,0.44165,1.01585,2.81269,-3.10371,2.1471,0.0130355,0.964261,23.0138,
-1.37406,-0.507347,0.439336,1.02685,2.88677,-3.10532,2.12865,0.0176725,0.964513,23.0422,
-1.37767,-0.506869,0.440404,1.02277,2.82378,-3.10139,2.13949,0.0134456,0.965177,23.0586,
-1.3776,-0.501091,0.439455,1.03429,2.89989,-3.10459,2.12023,0.0142336,0.965553,23.0757,
-1.39637,-0.517544,0.438767,1.05149,2.72047,-3.09735,2.12508,0.0142827,0.96627,23.0934,
-1.40941,-0.517136,0.432331,1.293,2.90466,-3.06135,1.86977,0.0104015,0.966923,23.1068,
-1.41068,-0.515179,0.432293,1.29573,2.90696,-3.06116,1.86681,0.010947,0.967536,23.1221,
-1.38843,-0.503424,0.432512,0.734656,3.07504,3.13104,2.40702,0.0104294,0.967856,23.1443,
-1.38716,-0.487008,0.438628,1.04377,2.8542,-3.09861,2.11605,0.0107863,0.969342,23.1615,
-1.3877,-0.481911,0.436787,1.0567,2.94464,-3.10253,2.0946,0.010047,0.969602,23.1754,
-1.40152,-0.487116,0.432991,1.22616,2.96036,-3.09739,1.92553,0.0186777,0.971966,23.214,
-1.41906,-0.501551,0.430791,1.31533,2.91945,-3.05975,1.84606,0.0141394,0.973459,23.2318,
-1.40727,-0.487385,0.433666,1.06872,2.75689,-3.09692,2.10339,0.0132759,0.973315,23.2632,
-1.39499,-0.466356,0.433098,1.07853,2.97918,-3.10079,2.07056,0.0119023,0.974286,23.2779,
-1.39935,-0.461513,0.4346,1.21234,2.88511,-3.07655,1.94961,0.0132539,0.974988,23.294,
-1.39955,-0.458959,0.433462,1.2141,2.88905,-3.07551,1.94755,0.0128477,0.975788,23.3111,
-1.40215,-0.457921,0.435549,1.21895,2.88757,-3.07604,1.94287,0.011909,0.977488,23.3259,
-1.40263,-0.456509,0.435009,1.22151,2.91044,-3.07923,1.93724,0.0145547,0.97839,23.3444,
-1.4016,-0.451242,0.434942,1.19556,2.89353,-3.08221,1.96438,0.011631,0.97839,23.3589,
-1.41139,-0.463658,0.431764,1.17417,2.78117,-3.08172,2.00011,0.0107608,0.979779,23.3727,
-1.40356,-0.449744,0.430727,1.22411,2.90215,-3.07505,1.93618,0.0134144,0.980436,23.3888,
-1.40621,-0.448624,0.432894,1.22905,2.90014,-3.07586,1.93143,0.00937319,0.983541,23.4012,
-1.40748,-0.446592,0.432734,1.23213,2.9035,-3.0752,1.92808,0.0122755,0.984349,23.4161,
-1.40342,-0.447062,0.426402,1.03785,-3.08992,-3.12983,2.10384,0.0140049,0.986008,23.4336,
-1.40867,-0.444413,0.432346,1.23532,2.9064,-3.07461,1.92468,0.0131803,0.986833,23.45,
-1.4103,-0.44285,0.43348,1.23906,2.90647,-3.07448,1.92099,0.00993752,0.988397,23.4657,
-1.41402,-0.442243,0.433352,1.32968,2.86598,-3.06016,1.8391,0.0121567,0.989986,23.4813,
-1.41141,-0.440518,0.432698,1.24206,2.91042,-3.07381,1.91766,0.0117331,0.991758,23.5008,
-1.40617,-0.431509,0.437746,1.21519,2.80246,-3.05365,1.96229,0.0117202,0.992635,23.5161,
-1.41565,-0.437312,0.431296,1.33353,2.87225,-3.0611,1.83425,0.0124156,0.994706,23.5365,
-1.3992,-0.416002,0.434913,1.23204,2.89722,-3.10102,1.9253,0.0134735,0.996969,23.5528,
-1.41698,-0.435306,0.431369,1.33653,2.87405,-3.0607,1.83111,0.0129924,0.997433,23.569,
-1.39722,-0.416862,0.433232,1.09437,2.98518,-3.12278,2.05247,0.0109653,0.99984,23.5851,
-1.41454,-0.433761,0.430925,1.25001,2.91928,-3.07401,1.90875,0.0106847,1.00191,23.5997,
-1.41527,-0.425553,0.430776,1.3812,2.95681,-3.05701,1.77666,0.0133166,1.00317,23.6169,
-1.41901,-0.432258,0.430945,1.34271,2.88773,-3.06247,1.8228,0.0127928,1.0048,23.633,
-1.4193,-0.424401,0.430839,1.44986,2.92255,-3.04915,1.71421,0.0139594,1.00631,23.6499,
-1.4096,-0.421393,0.434568,1.22272,2.81585,-3.05346,1.95285,0.0109034,1.00631,23.6654,
-1.40176,-0.407433,0.434557,1.25385,2.93513,-3.05181,1.90609,0.0127702,1.01032,23.682,
-1.40591,-0.407191,0.435278,1.3494,2.88702,-3.03695,1.82042,0.0120823,1.01117,23.6987,
-1.39751,-0.405919,0.43674,1.10561,2.80283,-3.09486,2.06175,0.00978398,1.01478,23.7308,
-1.38795,-0.389135,0.434647,1.15198,3.02245,-3.09261,1.99522,0.0112119,1.01781,23.7508,
-1.39031,-0.3857,0.437127,1.26835,2.92018,-3.07321,1.8906,0.0094943,1.01861,23.7671,
-1.40721,-0.404362,0.431946,1.34298,2.88109,-3.08699,1.81967,0.00974607,1.01968,23.7834,
-1.38346,-0.383219,0.438085,1.07804,2.777,-3.12642,2.08609,0.0120437,1.02125,23.8033,
-1.40643,-0.401213,0.433941,1.3535,2.89198,-3.03664,1.81569,0.0130415,1.02414,23.8212,
-1.40628,-0.401038,0.433328,1.35319,2.89347,-3.03679,1.81575,0.0133488,1.02489,23.8387,
-1.38855,-0.384554,0.4342,1.15406,2.97609,-3.08773,1.99689,0.013303,1.02933,23.8555,
-1.40036,-0.395528,0.435225,1.23646,2.8065,-3.07618,1.93654,0.0114489,1.03152,23.8711,
-1.39224,-0.380718,0.435284,1.27298,2.92677,-3.07384,1.88519,0.00944233,1.03258,23.8834,
-1.39243,-0.380893,0.436071,1.27297,2.92607,-3.07416,1.88523,0.0108061,1.03537,23.9,
-1.39248,-0.381059,0.436326,1.27317,2.92519,-3.0742,1.88513,0.0128176,1.03739,23.9217,
-1.39149,-0.375083,0.43462,1.33424,3.02141,-3.06799,1.81567,0.0123663,1.03837,23.9379,
