1130_4_led.csv
x,y,z,r,p,y,ori,ms,dpth,t
0,4.79244e-322,4.68282e-310,-1.5708,0,0,1.5708,0.0186975,1.92572,3.61787,
0.62905,1.35375,0.518174,0.00160082,-0.0245895,-2.61776,2.61778,0.0310063,1.93049,3.65347,
0.642636,1.37288,0.521793,-0.00620949,0.0126592,-2.52744,2.52742,0.0177121,1.93049,3.6762,
0.652485,1.38341,0.522098,-0.0205223,0.0135654,-2.50349,2.5034,0.0156093,1.9344,3.69587,
0.675171,1.40573,0.52496,-0.00676381,-0.00800399,-2.48588,2.48592,0.0161226,1.9344,3.71889,
0.674851,1.40439,0.525393,-0.00408901,-0.00617865,-2.49184,2.49186,0.0160098,1.9344,3.74606,
0.665653,1.39237,0.522234,-0.0056253,-0.0296715,-2.51989,2.52005,0.0165477,1.94386,3.77506,
0.650043,1.37928,0.523849,-0.00412206,0.0367989,-2.48204,2.48208,0.0145531,1.94738,3.80095,
0.661125,1.38496,0.525005,-0.00053074,0.00614246,-2.53257,2.53257,0.0158241,1.95017,3.83186,
0.656824,1.38158,0.528195,-0.0138073,0.0836359,-2.51632,2.51632,0.0147555,1.95439,3.85755,
0.669333,1.39274,0.526038,-0.0103119,0.0141633,-2.50831,2.50827,0.0141575,1.95439,3.88416,
0.67564,1.39223,0.52573,-0.0134777,0.0139622,-2.56395,2.56388,0.0153828,1.96043,3.91517,
0.687631,1.40833,0.528891,-0.0119384,0.0300434,-2.50126,2.50116,0.0155897,1.96043,3.94233,
0.705118,1.4293,0.532554,-0.00594739,0.0375525,-2.4559,2.45592,0.0156343,1.96665,3.97005,
0.697813,1.42478,0.531231,0.00458099,0.0227089,-2.41249,2.4126,0.0160842,1.97367,4.00244,
0.688527,1.40626,0.529976,-0.0139083,0.0472848,-2.49799,2.49786,0.0136397,1.97367,4.02846,
0.677048,1.39646,0.527628,-0.00333264,0.0264276,-2.47665,2.47667,0.0160348,1.97928,4.05652,
0.680485,1.39474,0.528472,-0.0122794,0.0462721,-2.51718,2.51708,0.0147538,1.98071,4.08215,
0.694637,1.4075,0.532329,-0.010504,0.0707022,-2.51919,2.51923,0.0154839,1.98562,4.11236,
0.721317,1.4379,0.535267,-0.00550259,0.0427067,-2.45605,2.4561,0.0154691,1.98777,4.14037,
0.705661,1.41996,0.533102,-0.0129472,0.0518349,-2.48826,2.48816,0.0170293,1.99364,4.17164,
0.718846,1.42975,0.531242,-0.0137072,0.00318586,-2.5012,2.50119,0.0162539,1.99583,4.19772,
0.737997,1.45576,0.531108,0.011419,-0.057573,-2.39935,2.39935,0.016746,2.00069,4.22523,
0.712218,1.42292,0.529238,0.000270608,-0.014849,-2.47107,2.47109,0.0143311,2.00069,4.25151,
0.706508,1.39795,0.535431,-0.0221287,0.0970284,-2.67663,2.67614,0.0150506,2.00069,4.27891,
0.714848,1.42021,0.52934,-0.00447702,-0.00700439,-2.50796,2.50798,0.0156753,2.00938,4.3071,
0.705981,1.41299,0.533851,-0.00233403,0.0643071,-2.48671,2.48699,0.015389,2.01685,4.33566,
0.706976,1.4087,0.526562,-0.0146732,-0.0362927,-2.53675,2.53714,0.0158355,2.01685,4.36327,
0.734777,1.43803,0.536205,-0.00686564,0.0453538,-2.48641,2.48644,0.0150974,2.02329,4.39117,
0.732748,1.43343,0.533414,-0.0071177,0.0177202,-2.5115,2.51147,0.0199606,2.02691,4.42458,
0.728935,1.43097,0.534115,-0.00731384,0.0315065,-2.4927,2.49268,0.0162663,2.02691,4.44594,
0.719716,1.41887,0.535391,0.0031414,0.0570719,-2.52843,2.52878,0.0148208,2.0336,4.47232,
0.763645,1.46335,0.540243,0.00524198,0.0444858,-2.48459,2.48488,0.0158057,2.03734,4.50316,
0.752631,1.45401,0.535471,0.0141555,-0.00513762,-2.46616,2.46614,0.014945,2.04047,4.52897,
0.751285,1.44837,0.53278,0.00905791,-0.0361251,-2.49211,2.49207,0.0162871,2.04402,4.55702,
0.760614,1.45724,0.534377,0.00382011,-0.0360506,-2.49314,2.49318,0.0165498,2.05009,4.58539,
0.756301,1.45419,0.536031,0.0111998,-0.0135629,-2.47052,2.47047,0.0164118,2.05009,4.6123,
0.753088,1.45156,0.532393,-0.00166561,-0.0343807,-2.4458,2.44593,0.0159292,2.0559,4.64072,
0.759314,1.45285,0.533991,-0.00479764,-0.0299647,-2.50402,2.50416,0.0161166,2.05985,4.67148,
0.789722,1.48449,0.542022,0.004395,0.0102263,-2.45226,2.45229,0.023448,2.06807,4.74634,
0.77147,1.45706,0.535186,-0.0110994,-0.0191793,-2.5458,2.54594,0.0200953,2.07854,4.81599,
0.772086,1.45876,0.535294,0.000738732,-0.0403659,-2.53901,2.53913,0.0174649,2.08474,4.85776,
0.812179,1.50048,0.543149,-0.000613284,-0.0206877,-2.48983,2.48987,0.0167165,2.08474,4.87822,
0.804306,1.49084,0.544875,0.00419374,0.032663,-2.49288,2.49304,0.0166998,2.08474,4.89844,
0.800486,1.49048,0.543625,0.00556414,0.0294118,-2.45706,2.45722,0.015703,2.09306,4.92115,
0.803096,1.49027,0.542793,0.000239223,0.0184238,-2.48885,2.48888,0.0156369,2.09306,4.94787,
0.800943,1.48691,0.53962,0.0081948,-0.015511,-2.49926,2.49922,0.0149784,2.09833,4.97505,
0.80426,1.48852,0.540232,0.0108283,-0.0114469,-2.51201,2.51197,0.0145051,2.10589,5.00338,
0.799796,1.48376,0.539255,0.002811,-0.00276361,-2.51369,2.51369,0.0137959,2.10589,5.02969,
0.798834,1.48338,0.538422,0.00259944,-0.00538665,-2.48921,2.4892,0.0174158,2.11884,5.10725,
0.788296,1.47019,0.538448,-0.00544881,0.0213197,-2.52688,2.52686,0.0199819,2.12813,5.17908,
0.791637,1.46581,0.538296,-0.0150907,0.0245747,-2.60492,2.60479,0.0174327,2.13484,5.2174,
0.796106,1.47386,0.540362,-0.0127064,0.0470611,-2.55728,2.55716,0.0152926,2.13705,5.23588,
0.810724,1.49199,0.539789,-0.006716,0.0145453,-2.52371,2.52368,0.0151196,2.14005,5.25493,
0.843103,1.52527,0.542322,-0.000234104,-0.0202833,-2.47612,2.47616,0.0143268,2.14005,5.28247,
0.826756,1.50668,0.544496,1.32893e-05,0.0449332,-2.51379,2.51396,0.0148337,2.14769,5.31053,
0.822317,1.50164,0.54515,-0.0159307,0.0682575,-2.52965,2.5295,0.0160749,2.15226,5.34096,
0.816065,1.49272,0.539122,-0.00828988,-0.00875986,-2.54953,2.54958,0.0144665,2.15447,5.36653,
0.811873,1.48332,0.537288,-0.0200561,-0.00328335,-2.60055,2.60061,0.0146761,2.15889,5.39339,
0.826421,1.50143,0.539087,-0.0156283,-0.00911154,-2.55218,2.55228,0.0142763,2.16105,5.42244,
0.818634,1.48965,0.53856,-0.0145439,0.0109858,-2.61166,2.6116,0.0169697,2.16769,5.45223,
0.845168,1.52002,0.541339,-0.0149831,-0.00751739,-2.55072,2.5508,0.0151112,2.16769,5.47936,
0.851391,1.52396,0.539521,-0.00678815,-0.0659131,-2.58922,2.58976,0.0156758,2.17383,5.50949,
