1130_4_uav.csv
x,y,z,r,p,y,ori,ms,dpth,t
0.666184,1.36213,0.475813,-0.0857319,-0.059424,-2.47554,2.47902,0,0,3.61792,
0.670397,1.36462,0.476099,-0.0803171,-0.059102,-2.47758,2.48081,0,0,3.65351,
0.670397,1.36462,0.476099,-0.0803171,-0.059102,-2.47758,2.48081,0,0,3.67627,
0.673739,1.3668,0.476272,-0.0917072,-0.0605727,-2.4745,2.47832,0,0,3.69592,
0.673739,1.3668,0.476272,-0.0917072,-0.0605727,-2.4745,2.47832,0,0,3.71894,
0.673739,1.3668,0.476272,-0.0917072,-0.0605727,-2.4745,2.47832,0,0,3.7461,
0.682018,1.37167,0.476994,-0.0901822,-0.057367,-2.47684,2.48041,0,0,3.77513,
0.685169,1.37347,0.477278,-0.0792262,-0.0597133,-2.47755,2.48076,0,0,3.80099,
0.687464,1.37495,0.477391,-0.082878,-0.0604233,-2.47606,2.47947,0,0,3.8319,
0.691187,1.37709,0.477785,-0.0790951,-0.0569798,-2.47618,2.47925,0,0,3.85759,
0.691187,1.37709,0.477785,-0.0790951,-0.0569798,-2.47618,2.47925,0,0,3.8842,
0.696604,1.38028,0.478145,-0.0811765,-0.0566683,-2.4771,2.48025,0,0,3.91521,
0.696604,1.38028,0.478145,-0.0811765,-0.0566683,-2.4771,2.48025,0,0,3.94237,
0.701918,1.38359,0.478582,-0.0867399,-0.0589444,-2.47745,2.48095,0,0,3.97011,
0.708089,1.38731,0.479027,-0.0926149,-0.0578099,-2.47645,2.48016,0,0,4.00248,
0.708089,1.38731,0.479027,-0.0926149,-0.0578099,-2.47645,2.48016,0,0,4.02852,
0.713013,1.39016,0.479507,-0.0796874,-0.0565667,-2.47703,2.48011,0,0,4.05657,
0.714255,1.39091,0.47956,-0.0816314,-0.0535555,-2.47578,2.47879,0,0,4.0822,
0.718535,1.39355,0.479837,-0.0825322,-0.0547561,-2.47522,2.47833,0,0,4.1124,
0.72036,1.39477,0.479947,-0.0901569,-0.053792,-2.47583,2.47921,0,0,4.1404,
0.725477,1.39766,0.480304,-0.0783496,-0.0562894,-2.47591,2.47892,0,0,4.17168,
0.727369,1.39882,0.480428,-0.0778943,-0.0536994,-2.477,2.47986,0,0,4.19779,
0.731637,1.40149,0.480621,-0.0866543,-0.0560992,-2.4774,2.48074,0,0,4.22529,
0.731637,1.40149,0.480621,-0.0866543,-0.0560992,-2.4774,2.48074,0,0,4.25157,
0.731637,1.40149,0.480621,-0.0866543,-0.0560992,-2.4774,2.48074,0,0,4.27896,
0.739133,1.40615,0.481043,-0.0814675,-0.0563403,-2.47818,2.48132,0,0,4.30714,
0.745502,1.41014,0.481397,-0.0826336,-0.0559575,-2.47722,2.48039,0,0,4.33571,
0.745502,1.41014,0.481397,-0.0826336,-0.0559575,-2.47722,2.48039,0,0,4.36331,
0.751113,1.41373,0.481766,-0.0785742,-0.0543954,-2.47814,2.48106,0,0,4.39122,
0.754157,1.41567,0.481964,-0.0850212,-0.054457,-2.47644,2.47963,0,0,4.42462,
0.754157,1.41567,0.481964,-0.0850212,-0.054457,-2.47644,2.47963,0,0,4.44598,
0.759824,1.41937,0.482335,-0.0797517,-0.0545429,-2.47813,2.48111,0,0,4.47236,
0.763048,1.42146,0.482492,-0.0777584,-0.0540152,-2.47881,2.48168,0,0,4.5032,
0.765525,1.42317,0.482743,-0.0789383,-0.0551304,-2.47749,2.48047,0,0,4.529,
0.768603,1.42519,0.482922,-0.0825168,-0.0551881,-2.47892,2.48205,0,0,4.55706,
0.773635,1.42871,0.483201,-0.0778257,-0.0567334,-2.47858,2.48159,0,0,4.58546,
0.773635,1.42871,0.483201,-0.0778257,-0.0567334,-2.47858,2.48159,0,0,4.61234,
0.778428,1.43202,0.483706,-0.0775134,-0.0539779,-2.47975,2.48261,0,0,4.64076,
