0212_aru.csv
x,y,z,r,p,y,ori,ms,dpth,t
2.0703,0.0417943,0.718991,2.56057,0.439074,0.0347712,2.56744,0.0115116,1.36304,12.9275,
2.08536,0.148547,0.721244,2.61323,0.437594,0.0366829,2.61826,0.00930977,1.36426,12.9726,
2.09516,0.212214,0.713681,2.64453,0.430979,0.0327642,2.64932,0.00854635,1.36573,13.0051,
2.11439,0.261173,0.718943,2.63322,0.258276,0.0235786,2.63454,0.00800467,1.36705,13.0391,
2.07393,0.448811,0.691771,2.87134,0.382843,0.0312728,2.87039,0.00931382,1.36774,13.0941,
2.12662,0.539761,0.721009,2.69498,0.379447,-0.0486064,2.71241,0.0118332,1.36915,13.1767,
2.08275,0.667636,0.70068,2.9067,0.341755,-0.0440997,2.91768,0.0148802,1.36826,13.2142,
2.11449,0.648248,0.720713,2.74734,0.37982,-0.0526559,2.76458,0.0070312,1.36806,13.2252,
2.09532,0.755672,0.718233,2.79634,0.379354,-0.056675,2.8134,0.00893354,1.36797,13.2749,
1.98717,0.963338,0.690673,0.0293702,2.83403,-3.11331,3.1169,0.0105658,1.36642,13.3432,
2.01247,0.972116,0.714653,3.06004,0.333281,0.0315977,3.05594,0.0117433,1.36629,13.362,
1.598,1.64601,0.688873,0.0791752,2.77637,-3.12573,3.06662,0.0111482,1.34128,13.7296,
1.57103,1.68078,0.689293,0.10155,2.77553,-3.12494,3.04478,0.0109799,1.34002,13.7468,
1.32231,1.94786,0.697593,0.467048,2.82231,-3.07121,2.69205,0.0122106,1.329,13.9168,
1.33906,1.96081,0.70634,0.285495,2.7566,3.12251,2.85777,0.00968599,1.32833,13.9316,
1.35116,1.96449,0.707047,0.384176,2.88919,-3.13811,2.76095,0.00973582,1.32833,13.9478,
1.2191,2.02148,0.689374,0.471833,2.72198,-3.08502,2.69224,0.0113392,1.32714,13.9677,
1.07708,2.14179,0.698042,0.618756,2.82634,-3.06941,2.54247,0.0138469,1.32984,14.0532,
1.03694,2.14893,0.689278,0.681117,2.6946,-3.05347,2.49818,0.0088346,1.33021,14.065,
1.00342,2.18278,0.698154,0.668582,2.82517,-3.06337,2.49449,0.0107989,1.33241,14.0975,
1.00792,2.21096,0.70881,0.643521,2.73283,-3.03967,2.53337,0.00848961,1.33413,14.1133,
0.848844,2.27038,0.694869,0.758016,2.83198,-3.0589,2.40647,0.01811,1.33775,14.1741,
0.829301,2.27827,0.69506,0.767844,2.83104,-3.06078,2.39656,0.00897884,1.33837,14.1878,
0.824265,2.35198,0.719628,0.655992,2.78094,-3.11066,2.50224,0.0132484,1.341,14.2379,
0.766056,2.33439,0.702709,0.639218,2.78755,3.13329,2.51126,0.0072701,1.341,14.2494,
0.711353,2.36689,0.704859,0.764554,2.89827,-3.12169,2.38543,0.00860429,1.34402,14.2637,
0.613778,2.36638,0.692047,0.973369,2.78956,-3.03409,2.20472,0.00959945,1.34533,14.2815,
0.644002,2.39284,0.702029,0.896566,2.83057,-3.0982,2.26354,0.00829983,1.34604,14.297,
0.561189,2.39081,0.687805,0.915513,2.84011,-3.0565,2.25084,0.00886154,1.34689,14.3137,
0.555115,2.41198,0.700637,0.749506,2.79033,3.13859,2.40365,0.00925732,1.34783,14.3339,
0.405075,2.40498,0.675161,1.09494,2.85861,-3.0619,2.07095,0.00946283,1.34979,14.3644,
0.328418,2.43877,0.683738,1.02556,2.81898,-3.12793,2.13283,0.0129457,1.35398,14.4193,
0.107522,2.47189,0.682851,1.27003,2.84576,-3.09403,1.89497,0.0136185,1.37872,14.5213,
0.0640423,2.47441,0.681599,1.28987,2.84833,-3.09284,1.87533,0.00829434,1.36314,14.5332,
0.131774,2.52046,0.707811,0.984832,2.77462,3.10665,2.16854,0.00835133,1.36377,14.5498,
0.0808446,2.52171,0.707583,1.00734,2.77426,3.10367,2.14604,0.00895023,1.36505,14.5659,
-0.124855,2.46903,0.677136,1.30604,2.90617,-3.11582,1.84926,0.0140293,1.36792,14.6234,
-0.0757763,2.51955,0.709115,1.07967,2.77186,3.10162,2.07521,0.00991488,1.36816,14.6368,
-0.137535,2.48643,0.690414,1.16841,2.88775,3.08937,1.97766,0.00777102,1.36884,14.6487,
-0.171357,2.49708,0.698448,1.28928,2.82615,-3.09441,1.87867,0.0103061,1.36972,14.6687,
-0.217393,2.4897,0.693338,1.31956,2.83275,-3.09603,1.84777,0.0100605,1.36977,14.6851,
-0.360278,2.47141,0.691925,1.28127,2.89295,-3.12516,1.87389,0.0141332,1.36866,14.757,
-0.423098,2.45583,0.689488,1.31013,2.90316,-3.12884,1.84389,0.00952077,1.36765,14.785,
-0.450064,2.44735,0.696311,1.4186,2.82085,-3.10111,1.75165,0.00709081,1.36717,14.7974,
-0.546059,2.47887,0.723467,1.12036,2.92933,3.07325,2.02178,0.0174167,1.36501,14.8779,
-0.647818,2.37511,0.701355,1.50789,2.81461,-3.09888,1.66588,0.0103557,1.36433,14.8913,
-0.675841,2.37537,0.698058,1.5242,2.81728,-3.10091,1.64916,0.00793505,1.3633,14.9025,
-0.659572,2.41361,0.713995,1.33905,2.77901,-3.11647,1.83295,0.00916314,1.36299,14.9174,
-0.79497,2.32107,0.701219,1.53684,2.73352,-3.03841,1.66733,0.00880122,1.35842,14.9689,
-0.836841,2.30308,0.704195,1.55934,2.73215,-3.03435,1.64709,0.0128913,1.35747,14.9905,
-0.873725,2.28228,0.705112,1.57656,2.7308,-3.03404,1.63101,0.00982738,1.3564,15.0034,
-1.26873,1.9584,0.685945,1.76479,2.72617,-3.03096,1.45372,0.0125151,1.34304,15.208,
-1.32267,1.95907,0.699268,1.86604,2.81583,-3.05516,1.32689,0.0127399,1.34091,15.2456,
-1.34019,1.94501,0.699461,1.87729,2.81583,-3.05342,1.31643,0.0101204,1.34084,15.2589,
-1.36358,1.9944,0.730333,1.73663,2.75608,-3.10077,1.45625,0.0122731,1.33971,15.2899,
-1.41708,1.87076,0.702076,1.92524,2.81391,-3.05103,1.27142,0.0123415,1.33831,15.3062,
-1.4646,1.81031,0.693859,1.90725,2.72058,-3.0659,1.31223,0.00906301,1.33678,15.336,
-1.52354,1.76407,0.70071,1.9991,2.814,-3.05341,1.20022,0.0166707,1.3356,15.3791,
-1.54048,1.77233,0.713901,1.8307,2.76011,3.14076,1.35722,0.0109472,1.33582,15.3943,
-1.57404,1.73696,0.708478,1.85242,2.76518,3.14045,1.33524,0.0094645,1.3353,15.4207,
-1.63379,1.61392,0.694662,2.03349,2.71785,-3.06415,1.19595,0.0129857,1.33571,15.458,
