0212_uav.csv
x,y,z,r,p,y,ori,ms,dpth,t
1.99338,0.103388,0.662646,1.68199,0.199023,-0.236971,1.72637,0,0,12.9276,
2.00663,0.206364,0.661654,1.71103,0.214524,-0.232696,1.75709,0,0,12.9727,
2.01207,0.268495,0.660727,1.75484,0.20543,-0.243214,1.80026,0,0,13.0051,
2.01485,0.330754,0.659631,1.7824,0.220458,-0.237402,1.82913,0,0,13.0391,
2.01374,0.452651,0.657418,1.8574,0.220125,-0.238755,1.90281,0,0,13.0941,
1.9997,0.617227,0.654993,1.93093,0.180222,-0.301281,1.97877,0,0,13.1768,
1.98652,0.698727,0.654189,1.97532,0.189179,-0.302144,2.02421,0,0,13.2142,
1.98267,0.718517,0.653735,1.988,0.196366,-0.296668,2.03707,0,0,13.2253,
1.9588,0.818409,0.65314,2.0328,0.201844,-0.275391,2.07811,0,0,13.2749,
1.91418,0.954271,0.651555,2.11607,0.20699,-0.259879,2.15806,0,0,13.3433,
1.8975,0.999279,0.651339,2.13999,0.209037,-0.2369,2.17805,0,0,13.3621,
1.50937,1.63464,0.643313,2.49934,0.214983,-0.189478,2.52638,0,0,13.7296,
1.48159,1.66733,0.642767,2.53137,0.199038,-0.211004,2.55884,0,0,13.7468,
1.22083,1.91726,0.641366,2.68857,0.186758,-0.188324,2.71011,0,0,13.9168,
1.19881,1.93539,0.641305,2.70882,0.18821,-0.190853,2.73064,0,0,13.9317,
1.19881,1.93539,0.641305,2.70882,0.18821,-0.190853,2.73064,0,0,13.9478,
1.13218,1.98715,0.641481,2.75159,0.173616,-0.203639,2.77272,0,0,13.9678,
0.976793,2.09405,0.641175,2.84607,0.202982,-0.209177,2.87035,0,0,14.0533,
0.964885,2.10185,0.641483,2.86382,0.213916,-0.199056,2.88799,0,0,14.065,
0.910949,2.13419,0.641558,2.89083,0.22585,-0.192839,2.91528,0,0,14.0976,
0.874685,2.15431,0.641476,2.91331,0.224916,-0.204348,2.93882,0,0,14.1133,
0.763274,2.21145,0.641935,2.97571,0.223052,-0.212037,3.00121,0,0,14.1742,
0.744641,2.2207,0.641729,2.97811,0.221356,-0.211465,3.00332,0,0,14.1879,
0.648524,2.26287,0.641474,3.03055,0.236225,-0.222002,3.0581,0,0,14.238,
0.648524,2.26287,0.641474,3.03055,0.236225,-0.222002,3.0581,0,0,14.2494,
0.590223,2.2853,0.641594,3.05713,0.224675,-0.230693,3.08402,0,0,14.2637,
0.550464,2.29951,0.641572,3.08515,0.220175,-0.236912,3.11185,0,0,14.2816,
0.530563,2.30633,0.641287,3.09549,0.218356,-0.247498,3.12301,0,0,14.297,
0.49083,2.31922,0.641483,3.12245,0.213155,-0.260743,3.13281,0,0,14.3138,
0.450495,2.33105,0.64122,3.13977,0.210664,-0.255553,3.1166,0,0,14.334,
0.39002,2.34699,0.640598,0.0321553,2.93298,2.87155,3.08187,0,0,14.3644,
0.288285,2.36901,0.640292,0.0717061,2.93137,2.87181,3.0427,0,0,14.4194,
0.0832311,2.39387,0.640087,0.173937,2.93095,2.89202,2.94379,0,0,14.5214,
0.0428552,2.39477,0.639612,0.193142,2.9444,2.85285,2.92306,0,0,14.5332,
0.0292404,2.39529,0.639202,0.212912,2.93662,2.8576,2.90297,0,0,14.5499,
-0.0184591,2.39588,0.639262,0.241959,2.9343,2.86978,2.87511,0,0,14.566,
-0.141579,2.39135,0.638866,0.297823,2.94876,2.8652,2.82147,0,0,14.6234,
-0.161975,2.38928,0.638742,0.301915,2.92389,2.88279,2.81595,0,0,14.6369,
-0.182642,2.38758,0.638804,0.323394,2.93059,2.86584,2.79412,0,0,14.6488,
-0.223495,2.3835,0.638222,0.333658,2.93856,2.83967,2.78297,0,0,14.6689,
-0.264088,2.37732,0.638653,0.363189,2.92595,2.86528,2.75435,0,0,14.6852,
-0.405685,2.35021,0.638328,0.4373,2.92577,2.87211,2.68192,0,0,14.7571,
-0.466234,2.33517,0.638546,0.460078,2.90965,2.90217,2.66033,0,0,14.7851,
-0.486533,2.32954,0.638787,0.471608,2.90436,2.89941,2.64824,0,0,14.7975,
-0.644392,2.27632,0.640697,0.564133,2.92459,2.89634,2.55868,0,0,14.878,
-0.682751,2.26094,0.640801,0.574925,2.90852,2.90526,2.54733,0,0,14.8913,
-0.701988,2.25263,0.640652,0.5771,2.90781,2.8983,2.54457,0,0,14.9027,
-0.722118,2.24506,0.641424,0.592434,2.93204,2.88679,2.53082,0,0,14.9175,
-0.81745,2.19988,0.64288,0.655286,2.91505,2.91748,2.4696,0,0,14.969,
-0.854765,2.18063,0.643435,0.67677,2.92082,2.91622,2.44875,0,0,14.9905,
-0.891728,2.16048,0.643878,0.698041,2.94633,2.90727,2.42918,0,0,15.0035,
-1.24006,1.92038,0.647542,0.909706,2.94686,2.93588,2.22169,0,0,15.2081,
-1.30381,1.86482,0.646778,0.949276,2.95875,2.95018,2.18383,0,0,15.2456,
-1.31922,1.85056,0.647183,0.951701,2.94552,2.93961,2.18032,0,0,15.259,
-1.36488,1.80704,0.646273,0.991343,2.9634,2.93556,2.14194,0,0,15.2899,
-1.39483,1.77727,0.645701,0.999979,2.97339,2.93874,2.13405,0,0,15.3063,
-1.43852,1.73173,0.645628,1.04161,2.95664,2.94091,2.09212,0,0,15.3361,
-1.49421,1.66934,0.64511,1.08376,2.95751,2.93652,2.0504,0,0,15.3792,
-1.51693,1.64279,0.644583,1.10346,2.95854,2.93647,2.031,0,0,15.3943,
-1.54813,1.60483,0.644723,1.11765,2.98044,2.92606,2.01791,0,0,15.4208,
-1.599,1.53885,0.644401,1.1673,2.95714,2.93422,1.9679,0,0,15.4581,
-1.70284,1.38419,0.644013,1.26504,2.96441,2.92958,1.87178,0,0,15.5432,
-1.71317,1.3664,0.64428,1.26607,2.95921,2.93491,1.87062,0,0,15.5554,
-1.73419,1.33062,0.643464,1.28417,2.94752,2.9138,1.85208,0,0,15.5746,
-1.86163,1.05386,0.648402,1.44394,2.96321,2.90041,1.69596,0,0,15.7249,
-1.87716,1.00989,0.649427,1.46286,2.93989,2.94525,1.67671,0,0,15.744,
-1.89186,0.965089,0.649746,1.4862,2.96093,2.92782,1.65408,0,0,15.778,
-1.93805,0.784721,0.650743,1.58293,2.93456,2.96212,1.55908,0,0,15.8624,
-1.96416,0.629027,0.651075,1.67352,2.98033,2.94658,1.47009,0,0,15.9427,
-1.96944,0.583374,0.651557,1.68337,2.9594,2.96404,1.46015,0,0,15.9639,
-1.97605,0.510829,0.651978,1.73681,2.9515,2.9631,1.40789,0,0,16.0098,
-1.97819,0.471903,0.652443,1.73155,2.95271,2.97303,1.41294,0,0,16.0227,
-1.90049,-0.204288,0.657708,2.13342,2.91734,2.94888,1.02598,0,0,16.3675,
-1.80498,-0.469813,0.661679,2.2738,2.87284,2.97286,0.898822,0,0,16.506,
-1.61041,-0.817234,0.669648,2.45259,2.90971,2.93386,0.731045,0,0,16.6951,
-1.54267,-0.911205,0.670261,2.52288,2.90125,2.96001,0.665946,0,0,16.7502,
-1.35077,-1.12359,0.673961,2.65364,2.92103,2.91605,0.557825,0,0,16.8786,
-1.26996,-1.19959,0.675483,2.706,2.91909,2.91272,0.517335,0,0,16.9267,
-1.13875,-1.30672,0.67789,2.77571,2.92693,2.88454,0.473645,0,0,17.0011,
-1.04257,-1.37479,0.678781,2.84176,2.93471,2.85907,0.44022,0,0,17.053,
-0.807302,-1.50733,0.679724,2.98088,2.95013,2.84984,0.371629,0,0,17.1853,
-0.733036,-1.53846,0.679786,3.00105,2.90957,2.86709,0.37341,0,0,17.2154,
-0.693004,-1.55445,0.679344,3.01249,2.9079,2.90807,0.344049,0,0,17.2316,
-0.126968,-1.67416,0.682976,0.155723,0.202349,-0.274889,0.385912,0,0,17.4972,
-0.00124197,-1.67706,0.682616,0.22524,0.226628,-0.271072,0.434247,0,0,17.5586,
0.0433306,-1.67557,0.683834,0.24104,0.194398,-0.284746,0.435299,0,0,17.5736,
0.0658045,-1.67474,0.683827,0.257994,0.182189,-0.281229,0.43729,0,0,17.5832,
0.176301,-1.66647,0.684009,0.31,0.180556,-0.275517,0.467931,0,0,17.6359,
0.220084,-1.66138,0.683856,0.333678,0.182522,-0.275439,0.485877,0,0,17.6537,
0.285407,-1.652,0.683848,0.370426,0.179594,-0.266866,0.50702,0,0,17.6876,
0.400801,-1.62904,0.682835,0.421559,0.179665,-0.250551,0.538674,0,0,17.7382,
1.30674,-1.13141,0.675772,0.926107,0.181163,-0.21435,0.983152,0,0,18.2372,
1.45128,-0.980558,0.672441,1.04475,0.183093,-0.195682,1.09271,0,0,18.3396,
1.51782,-0.900766,0.670312,1.09287,0.174331,-0.216484,1.14233,0,0,18.3727,
1.5763,-0.823564,0.670362,1.14956,0.193032,-0.201065,1.19789,0,0,18.4234,
1.62737,-0.750078,0.670789,1.17615,0.216267,-0.190557,1.22677,0,0,18.462,
1.63517,-0.738258,0.671027,1.1713,0.190642,-0.207452,1.21995,0,0,18.474,
1.64625,-0.722176,0.670892,1.20402,0.171315,-0.204219,1.24658,0,0,18.4855,
1.69801,-0.635013,0.671072,1.27552,0.132715,-0.254153,1.31934,0,0,18.5334,
1.69801,-0.635013,0.671072,1.27552,0.132715,-0.254153,1.31934,0,0,18.55,
1.72802,-0.581685,0.672495,1.31134,0.119797,-0.241814,1.34894,0,0,18.5661,
1.76419,-0.509637,0.673644,1.3415,0.138798,-0.237224,1.38116,0,0,18.6054,
1.89001,-0.190687,0.674763,1.5193,0.26031,-0.132574,1.55848,0,0,18.7777,
1.91911,-0.092162,0.674305,1.56712,0.238098,-0.167072,1.60769,0,0,18.8295,
1.92915,-0.0529884,0.673598,1.59894,0.222828,-0.179191,1.63827,0,0,18.8409,
1.95559,0.061086,0.671554,1.66429,0.206398,-0.198809,1.70303,0,0,18.9072,
1.98062,0.20965,0.668223,1.74137,0.194099,-0.220229,1.78044,0,0,18.9728,
1.9888,0.272066,0.66686,1.76789,0.193605,-0.223997,1.80709,0,0,19.0107,
1.99644,0.37466,0.663687,1.81797,0.202472,-0.226914,1.85848,0,0,19.0604,
1.99802,0.415267,0.663309,1.83165,0.186892,-0.241004,1.87157,0,0,19.0779,
1.98736,0.658062,0.657154,1.97554,0.217102,-0.244482,2.01919,0,0,19.1959,
1.98443,0.67824,0.656786,1.9762,0.216862,-0.255237,2.02181,0,0,19.2092,
1.92674,0.956197,0.652361,2.11229,0.239357,-0.237788,2.15636,0,0,19.3469,
1.91454,0.995002,0.652226,2.13588,0.234028,-0.248257,2.18044,0,0,19.3632,
1.87054,1.11003,0.652316,2.18751,0.236229,-0.269836,2.23545,0,0,19.4305,
1.85523,1.14789,0.652432,2.22185,0.249095,-0.239922,2.26608,0,0,19.4471,
1.20019,1.94409,0.653016,2.69962,0.245959,-0.173488,2.72591,0,0,19.9361,
1.12886,1.99391,0.654139,2.7635,0.195489,-0.219782,2.789,0,0,19.9726,
1.0544,2.04285,0.655346,2.79837,0.231111,-0.220724,2.82814,0,0,20.0137,
0.722413,2.21795,0.658677,2.97685,0.186772,-0.231748,3.00023,0,0,20.1832,
0.681903,2.23461,0.658581,2.99978,0.181851,-0.24439,3.02355,0,0,20.202,
0.661904,2.24264,0.658889,3.00211,0.16659,-0.227408,3.02236,0,0,20.2163,
0.641718,2.25061,0.658491,3.02156,0.152107,-0.262061,3.04279,0,0,20.2301,
0.546062,2.28412,0.657515,3.06228,0.151493,-0.261893,3.08697,0,0,20.271,
0.498571,2.2998,0.656786,3.08909,0.149563,-0.278349,3.11047,0,0,20.2926,
0.478116,2.30516,0.656939,3.10853,0.135065,-0.283249,3.12799,0,0,20.3048,
0.457555,2.31111,0.656276,3.11442,0.144744,-0.276181,3.13465,0,0,20.3189,
