0212_led.csv
x,y,z,st_x,st_y,st_z,r,p,y,ori,ms,dpth,t
1.86395,-0.309933,0.743705,1.7226,0.042376,0.657139,-0.244191,0.325021,1.37338,1.46057,0.0422707,1.32683,20.6948,
1.8684,-0.268134,0.738399,1.72921,0.0784087,0.657826,-0.231001,0.299534,1.42223,1.49633,0.0113423,1.32609,20.7101,
1.87537,-0.252621,0.734071,1.72921,0.0784087,0.657826,-0.228414,0.302667,1.4424,1.51589,0.00962758,1.32523,20.7224,
1.88761,-0.205598,0.731866,1.73499,0.114888,0.658269,-0.220245,0.316895,1.4578,1.5324,0.00948429,1.32303,20.7402,
1.90306,-0.22018,0.740208,1.73932,0.151147,0.658174,-0.210279,0.287638,1.51096,1.57354,0.00968266,1.32095,20.7573,
1.90835,-0.168498,0.743457,1.74328,0.187455,0.658124,-0.213128,0.299472,1.52717,1.59288,0.00885582,1.31981,20.7706,
1.91394,-0.147338,0.745288,1.74328,0.187455,0.658124,-0.211617,0.285868,1.54623,1.60761,0.00950408,1.31951,20.7907,
1.90589,-0.124565,0.737957,1.74752,0.223882,0.658119,-0.212837,0.322999,1.51577,1.58787,0.00984097,1.31951,20.8055,
1.91783,-0.0423593,0.732836,1.75066,0.265272,0.658236,-0.204163,0.305237,1.56021,1.62407,0.00874496,1.31776,20.8236,
1.91896,-0.0193992,0.728649,1.75145,0.295995,0.65858,-0.217423,0.314846,1.54735,1.61739,0.00899553,1.31652,20.8416,
1.93119,0.0327148,0.73328,1.75153,0.30546,0.659087,-0.206293,0.307975,1.58465,1.64893,0.00900507,1.31474,20.8589,
1.91738,0.0826409,0.721248,1.75246,0.369562,0.658575,-0.278559,0.300969,1.48911,1.57411,0.00943422,1.31446,20.8737,
1.94144,0.0908711,0.734243,1.75178,0.389308,0.657822,-0.197156,0.308462,1.64802,1.70828,0.00948524,1.31276,20.8898,
1.94857,0.126881,0.737682,1.75178,0.389308,0.657822,-0.195945,0.309053,1.65242,1.7124,0.010056,1.31747,20.9071,
1.94569,0.156573,0.729592,1.75081,0.436918,0.657663,-0.192,0.316343,1.66036,1.72087,0.00928307,1.31168,20.9197,
1.95149,0.193717,0.731046,1.7483,0.478809,0.658448,-0.200999,0.305395,1.68927,1.74854,0.0122926,1.31055,20.9431,
1.95366,0.216212,0.73834,1.74517,0.515232,0.659082,-0.20007,0.311848,1.70584,1.76589,0.00971007,1.30902,20.9557,
1.94333,0.299652,0.722073,1.74153,0.551537,0.658991,-0.204214,0.282197,1.70356,1.75801,0.0160134,1.30873,20.9851,
1.95119,0.32183,0.728105,1.73711,0.587824,0.658777,-0.193393,0.268647,1.74637,1.7946,0.0119133,1.30734,21.0003,
1.95885,0.330999,0.733004,1.73076,0.629415,0.659142,-0.213547,0.324947,1.7546,1.81945,0.0100591,1.30641,21.0131,
1.94739,0.373673,0.728427,1.73076,0.629415,0.659142,-0.212337,0.299938,1.74985,1.80885,0.00951529,1.30602,21.026,
1.95846,0.399267,0.735598,1.72445,0.665209,0.659784,-0.191138,0.332361,1.81652,1.87593,0.0096674,1.30554,21.04,
1.97133,0.422431,0.743808,1.71795,0.694474,0.660268,-0.182246,0.32519,1.86606,1.92059,0.0103951,1.306,21.0579,
1.95599,0.457955,0.732776,1.70916,0.735278,0.660264,-0.200639,0.312541,1.82325,1.88037,0.0132911,1.30717,21.0761,
1.95703,0.495344,0.734437,1.70206,0.765634,0.661085,-0.196378,0.279766,1.86526,1.91373,0.0170867,1.30562,21.0986,
1.95666,0.498762,0.730893,1.69308,0.80118,0.661474,-0.196925,0.327307,1.85424,1.91285,0.00952649,1.30562,21.1111,
1.95917,0.532542,0.732659,1.69308,0.80118,0.661474,-0.197673,0.29004,1.87627,1.9268,0.0108521,1.30519,21.1247,
1.95743,0.57262,0.737278,1.6829,0.836119,0.661762,-0.204523,0.319843,1.89798,1.95558,0.00962138,1.30437,21.1401,
1.94164,0.639829,0.729861,1.67761,0.855722,0.66166,-0.206982,0.297447,1.92998,1.98275,0.0135405,1.3033,21.1615,
1.92926,0.672939,0.727654,1.6675,0.890393,0.661345,-0.209714,0.33028,1.92328,1.98361,0.00959706,1.30313,21.1735,
1.93774,0.698251,0.735323,1.65684,0.925291,0.662207,-0.197916,0.352116,1.96519,2.02624,0.00978255,1.30276,21.1893,
1.9181,0.749852,0.731409,1.65684,0.925291,0.662207,-0.202426,0.328312,1.95053,2.00807,0.0132449,1.30271,21.2106,
1.92162,0.773771,0.726707,1.63964,0.974625,0.662576,-0.189178,0.335356,1.99408,2.04895,0.0109236,1.3028,21.2255,
1.91632,0.820508,0.733018,1.61285,1.04195,0.662536,-0.18954,0.345184,2.03388,2.08975,0.0191557,1.30256,21.2506,
1.91336,0.836148,0.733443,1.61285,1.04195,0.662536,-0.199855,0.306705,2.03728,2.0879,0.00895023,1.30245,21.2618,
1.8849,0.879866,0.729816,1.59682,1.08054,0.663186,-0.218605,0.322225,2.01954,2.07769,0.00904799,1.30338,21.2734,
1.8951,0.901036,0.734546,1.58426,1.10837,0.66337,-0.211489,0.323616,2.06248,2.11828,0.0153537,1.30441,21.2973,
1.89315,0.9356,0.734317,1.58426,1.10837,0.66337,-0.204278,0.288717,2.10631,2.15306,0.00966263,1.305,21.3101,
