0212_uav.csv
x,y,z,r,p,y,ori,ms,dpth,t
1.84864,-0.336779,0.688703,-0.213147,0.197535,1.41509,1.46008,0,0,4.78491,
1.86099,-0.29714,0.688147,-0.217016,0.196289,1.44038,1.48534,0,0,4.80746,
1.87768,-0.237465,0.68755,-0.199756,0.199459,1.49352,1.53438,0,0,4.82817,
1.88782,-0.196801,0.687538,-0.209363,0.205416,1.48361,1.52789,0,0,4.84757,
1.89795,-0.156502,0.686605,-0.212455,0.185715,1.52474,1.56476,0,0,4.86838,
1.90349,-0.129986,0.686255,-0.214042,0.18436,1.54883,1.58843,0,0,4.88763,
1.91319,-0.0822,0.686125,-0.197068,0.201619,1.54494,1.58467,0,0,4.9102,
1.91865,-0.0548271,0.685567,-0.207583,0.185745,1.56808,1.60632,0,0,4.932,
1.92604,-0.00819483,0.684246,-0.199883,0.210062,1.61466,1.65523,0,0,4.95233,
1.93448,0.0473038,0.683977,-0.205271,0.189346,1.63093,1.66828,0,0,4.97127,
1.93985,0.0890985,0.683762,-0.192362,0.198537,1.64895,1.6853,0,0,4.99213,
1.94364,0.129841,0.683327,-0.186518,0.205809,1.65785,1.6943,0,0,5.01511,
1.94762,0.171647,0.682891,-0.188096,0.203939,1.6882,1.72409,0,0,5.03515,
1.95097,0.219629,0.682324,-0.212095,0.180152,1.69449,1.7303,0,0,5.05619,
1.9527,0.253374,0.682314,-0.19812,0.190086,1.7183,1.75302,0,0,5.07674,
1.95434,0.315712,0.681745,-0.18857,0.193243,1.76058,1.79353,0,0,5.09935,
1.95504,0.364766,0.681409,-0.192195,0.183906,1.79288,1.8244,0,0,5.12517,
1.95388,0.419223,0.681407,-0.176102,0.198958,1.81895,1.84993,0,0,5.14793,
1.95168,0.458872,0.680871,-0.211092,0.176727,1.85721,1.88974,0,0,5.1701,
1.95029,0.501864,0.680402,-0.187074,0.18848,1.84635,1.87704,0,0,5.19074,
1.95029,0.501864,0.680402,-0.187074,0.18848,1.84635,1.87704,0,0,5.21108,
1.94234,0.582224,0.680027,-0.201008,0.192561,1.90892,1.9417,0,0,5.23157,
1.94234,0.582224,0.680027,-0.201008,0.192561,1.90892,1.9417,0,0,5.24996,
1.93336,0.664348,0.679507,-0.195101,0.199362,1.93968,1.97218,0,0,5.26999,
1.92717,0.704867,0.679181,-0.186388,0.215954,1.97451,2.00777,0,0,5.29376,
1.92054,0.745817,0.679221,-0.194668,0.200856,1.98878,2.02078,0,0,5.31479,
1.90953,0.805927,0.679183,-0.205888,0.187786,2.00474,2.03621,0,0,5.33797,
1.90083,0.845062,0.678579,-0.219344,0.172252,2.03283,2.06351,0,0,5.35829,
1.89073,0.884397,0.678943,-0.219875,0.169085,2.05809,2.08802,0,0,5.37928,
1.87987,0.931173,0.67843,-0.195093,0.18937,2.07193,2.10114,0,0,5.40045,
1.87145,0.964108,0.677999,-0.193811,0.174754,2.10093,2.12744,0,0,5.42094,
1.85914,1.00253,0.678391,-0.215844,0.190637,2.11464,2.14665,0,0,5.44377,
1.84733,1.04152,0.67856,-0.215815,0.188738,2.13422,2.16567,0,0,5.46534,
1.83415,1.07957,0.678244,-0.221678,0.201106,2.13478,2.16912,0,0,5.48495,
1.82246,1.11093,0.678408,-0.209129,0.199668,2.17926,2.21082,0,0,5.50633,
1.8036,1.16186,0.678333,-0.222531,0.194103,2.2024,2.23481,0,0,5.53087,
1.78184,1.21083,0.678166,-0.216361,0.211653,2.22517,2.25909,0,0,5.55347,
1.76909,1.24196,0.677708,-0.208528,0.209056,2.25058,2.28255,0,0,5.57167,
1.75184,1.2785,0.677347,-0.199488,0.219195,2.2658,2.29771,0,0,5.59339,
1.73209,1.32218,0.67722,-0.205028,0.225542,2.28034,2.31387,0,0,5.6142,
1.71917,1.3457,0.676856,-0.183902,0.252233,2.31102,2.3447,0,0,5.63575,
1.68521,1.41226,0.675635,-0.209581,0.235828,2.35231,2.38712,0,0,5.65967,
1.66381,1.44657,0.676068,-0.232095,0.227472,2.35621,2.39324,0,0,5.68114,
1.64234,1.48108,0.676297,-0.21732,0.223726,2.38627,2.41998,0,0,5.70546,
1.62027,1.51588,0.675861,-0.223426,0.227061,2.4011,2.43604,0,0,5.72436,
1.59782,1.55031,0.67563,-0.22968,0.232198,2.4174,2.45388,0,0,5.74626,
1.56214,1.60133,0.67529,-0.211057,0.247432,2.44933,2.48471,0,0,5.76943,
1.53809,1.63439,0.674816,-0.232467,0.23621,2.47438,2.51107,0,0,5.78974,
1.51669,1.66166,0.674827,-0.224313,0.231679,2.48795,2.5225,0,0,5.81662,
1.4779,1.71008,0.674302,-0.231371,0.238911,2.52279,2.559,0,0,5.84499,
1.41905,1.77763,0.673426,-0.25657,0.216485,2.56442,2.6003,0,0,5.88009,
1.38549,1.8131,0.673339,-0.232094,0.225781,2.591,2.62438,0,0,5.90487,
1.36136,1.83809,0.672989,-0.233769,0.238441,2.60829,2.64353,0,0,5.92477,
