0212_led_land.csv
x,y,z,st_x,st_y,st_z,r,p,y,ori,ms,dpth,t
0.74258,2.04567,0.70608,0.599624,2.01153,0.662685,-0.0535116,0.349654,-3.13639,3.12716,0.0432992,1.51269,4.4692,
0.74252,2.06417,0.704163,0.576098,2.02006,0.662661,-0.0385016,0.289159,-3.08424,3.0793,0.0169458,1.51433,4.49184,
0.708851,2.06469,0.702985,0.558428,2.02655,0.662636,-0.0527488,0.341952,-3.13322,3.12437,0.0218766,1.51511,4.51841,
0.712037,2.07972,0.70462,0.544755,2.03144,0.662338,-0.0399838,0.305247,-3.05819,3.0531,0.0158176,1.51589,4.53699,
0.706451,2.0886,0.706829,0.530765,2.03638,0.662268,-0.0482041,0.310634,-3.04697,3.04068,0.0147614,1.51602,4.55588,
0.712951,2.09998,0.708716,0.530765,2.03638,0.662268,-0.0381975,0.277838,-3.01681,3.01274,0.0158758,1.51663,4.57554,
0.664022,2.09791,0.707047,0.502859,2.04569,0.661641,-0.0353983,0.349124,-3.0455,3.04083,0.0168428,1.51669,4.59553,
0.628713,2.09362,0.702096,0.502859,2.04569,0.661641,-0.0471654,0.330524,-3.09218,3.0851,0.0181584,1.51777,4.61664,
0.645866,2.11416,0.706931,0.488893,2.05018,0.661276,-0.0380225,0.34147,-3.00704,3.00256,0.0153,1.51756,4.63492,
0.625513,2.11914,0.702725,0.460972,2.05825,0.660029,-0.0456992,0.323637,-3.04606,3.03997,0.0147903,1.51788,4.65233,
0.601579,2.11943,0.696063,0.460972,2.05825,0.660029,-0.0565863,0.272511,-3.08522,3.07808,0.0178947,1.51702,4.67317,
0.591142,2.1288,0.702098,0.447099,2.06139,0.660012,-0.0418755,0.302723,-3.00225,2.99756,0.0175464,1.51775,4.69415,
0.549274,2.13604,0.697697,0.405192,2.07409,0.660142,-0.0579357,0.287178,-3.01572,3.00878,0.0286162,1.51835,4.7431,
0.513771,2.14418,0.695955,0.376337,2.08151,0.65963,-0.0722904,0.275038,-3.04318,3.03427,0.0286112,1.5186,4.78356,
0.490914,2.15147,0.700523,0.362039,2.08484,0.659324,-0.0722356,0.320073,-3.03273,3.02268,0.0273948,1.51902,4.81831,
0.467327,2.16262,0.69942,0.333625,2.09136,0.659094,-0.0394104,0.31468,-2.99131,2.98702,0.0305698,1.51978,4.85248,
0.464019,2.17512,0.70127,0.3193,2.09396,0.658831,-0.0378693,0.288476,-2.94698,2.9436,0.0161188,1.51987,4.87312,
0.445316,2.17887,0.70308,0.290402,2.0998,0.658337,-0.0345203,0.316207,-2.92883,2.92609,0.0159931,1.52046,4.89271,
0.432784,2.1836,0.704083,0.276018,2.10195,0.658266,-0.0291904,0.319991,-2.94379,2.9417,0.01736,1.52072,4.91308,
0.412603,2.18569,0.699729,0.276018,2.10195,0.658266,-0.033183,0.303595,-2.92037,2.91794,0.016964,1.52088,4.93295,
0.392791,2.18398,0.700797,0.261618,2.10543,0.658166,-0.0486558,0.292392,-2.96489,2.95974,0.0160205,1.52124,4.95221,
0.378599,2.19152,0.6964,0.232105,2.11057,0.657889,-0.0426879,0.249961,-2.90841,2.90497,0.0159445,1.52133,4.97093,
0.375744,2.20247,0.707452,0.217645,2.11299,0.657616,-0.0363885,0.33118,-2.88843,2.88596,0.01666,1.52189,4.99085,
0.359777,2.20643,0.706486,0.217645,2.11299,0.657616,-0.0349401,0.30824,-2.8656,2.86357,0.0175483,1.52279,5.01182,
0.354408,2.21542,0.705914,0.18809,2.11758,0.657568,-0.0446693,0.254243,-2.82306,2.82007,0.0167589,1.52321,5.03113,
0.323855,2.20303,0.704786,0.18809,2.11758,0.657568,-0.0568576,0.312234,-2.87389,2.86843,0.0183265,1.52308,5.05257,
0.328641,2.22164,0.711742,0.158356,2.12205,0.657393,-0.0462571,0.312893,-2.84655,2.84305,0.0169656,1.52395,5.07376,
0.305184,2.22166,0.708481,0.1435,2.12337,0.657521,-0.0409813,0.329478,-2.80883,2.80673,0.0169532,1.52488,5.09821,
0.288622,2.22023,0.702755,0.135287,2.12419,0.65737,-0.0445568,0.2686,-2.85719,2.85388,0.0153036,1.52431,5.11682,
0.264324,2.21536,0.704034,0.135287,2.12419,0.65737,-0.0395916,0.297344,-2.85387,2.85125,0.017365,1.52463,5.13924,
0.247963,2.21921,0.70383,0.0994336,2.12746,0.657418,-0.0286202,0.314529,-2.82521,2.8247,0.0178199,1.52619,5.16063,
0.215682,2.21243,0.698479,0.0994336,2.12746,0.657418,-0.0354225,0.323711,-2.84257,2.84084,0.0155463,1.52455,5.17913,
