0212_uav_land.csv
x,y,z,r,p,y,ori,ms,dpth,t
0.764728,2.04817,0.648402,-0.0617555,0.169355,-3.13035,3.12517,0,0,15.1304,
0.7581,2.05208,0.64839,-0.0607536,0.170809,-3.12545,3.12034,0,0,15.1426,
0.751387,2.05636,0.648116,-0.0627194,0.174165,-3.12151,3.11614,0,0,15.1539,
0.738236,2.06336,0.647971,-0.0526556,0.158189,-3.11777,3.11369,0,0,15.1709,
0.724752,2.07096,0.647614,-0.0635477,0.156656,-3.10828,3.10342,0,0,15.1876,
0.717898,2.07429,0.647797,-0.0728745,0.143663,-3.10272,3.09762,0,0,15.2035,
0.704085,2.08146,0.64754,-0.0685744,0.145339,-3.09399,3.08916,0,0,15.2223,
0.690294,2.08878,0.646599,-0.0699998,0.162023,-3.09721,3.09172,0,0,15.2367,
0.675948,2.09593,0.646367,-0.0839826,0.152727,-3.08808,3.08188,0,0,15.2565,
0.668355,2.09847,0.646569,-0.0776778,0.156822,-3.07264,3.06682,0,0,15.2715,
0.654456,2.10513,0.646906,-0.0705177,0.145419,-3.06194,3.05708,0,0,15.2878,
0.647387,2.10845,0.646676,-0.0678574,0.142522,-3.05974,3.05516,0,0,15.3039,
0.632976,2.11448,0.646353,-0.0474474,0.146659,-3.05487,3.05165,0,0,15.3221,
0.618739,2.12062,0.646403,-0.0677206,0.134936,-3.03613,3.03186,0,0,15.3395,
0.604323,2.12732,0.645521,-0.0855995,0.132355,-3.0452,3.03984,0,0,15.3614,
0.565644,2.14134,0.645777,-0.0787918,0.113195,-3.00648,3.00235,0,0,15.423,
0.546296,2.14864,0.645537,-0.0719019,0.117969,-3.00054,2.99664,0,0,15.439,
0.538861,2.15075,0.645507,-0.0523632,0.124441,-3.00023,2.99186,0,0,15.4561,
0.508903,2.16133,0.645496,-0.0452972,0.147572,-2.97674,2.97389,0,0,15.4869,
0.501325,2.16348,0.645754,-0.0457252,0.14792,-2.97226,2.96939,0,0,15.4994,
0.494252,2.16607,0.645455,-0.0425471,0.153076,-2.96987,2.96716,0,0,15.5124,
0.48685,2.16818,0.645836,-0.0516901,0.142986,-2.96399,2.96081,0,0,15.5241,
0.471888,2.17257,0.64606,-0.030982,0.148424,-2.95989,2.95811,0,0,15.5374,
0.465006,2.17522,0.645843,-0.0335544,0.161961,-2.9549,2.95282,0,0,15.554,
0.450199,2.18,0.645538,-0.0633702,0.136805,-2.9529,2.9491,0,0,15.5727,
0.435093,2.18334,0.646276,-0.0525287,0.135771,-2.93805,2.93503,0,0,15.5884,
0.420217,2.18747,0.646586,-0.0561509,0.132844,-2.92792,2.92475,0,0,15.6079,
0.412691,2.18921,0.646674,-0.0295443,0.136412,-2.92737,2.92588,0,0,15.6222,
0.397445,2.19334,0.646656,-0.0504655,0.137166,-2.91563,2.91277,0,0,15.6388,
0.384931,2.19622,0.646783,-0.0571303,0.136419,-2.90804,2.90479,0,0,15.6586,
0.368176,2.20006,0.646956,-0.0780042,0.113246,-2.89706,2.89323,0,0,15.6851,
0.353235,2.20369,0.64713,-0.0669729,0.118247,-2.89082,2.88744,0,0,15.6971,
0.345488,2.20546,0.646374,-0.0830947,0.135651,-2.89236,2.88753,0,0,15.7092,
0.337796,2.20709,0.646742,-0.0747245,0.143378,-2.88716,2.88264,0,0,15.7248,
0.337796,2.20709,0.646742,-0.0747245,0.143378,-2.88716,2.88264,0,0,15.7413,
0.307884,2.21249,0.647972,-0.0646296,0.136038,-2.86128,2.85769,0,0,15.7578,
0.300791,2.21476,0.647995,-0.0764858,0.143563,-2.88036,2.87575,0,0,15.7737,
0.284909,2.21698,0.648917,-0.0424183,0.151095,-2.84975,2.84745,0,0,15.7916,
0.269229,2.21956,0.649311,-0.03021,0.169933,-2.84116,2.83973,0,0,15.8095,
0.253588,2.2216,0.64944,-0.0285409,0.182517,-2.83159,2.83032,0,0,15.8323,
0.246048,2.22277,0.649619,-0.0331852,0.175358,-2.83029,2.82863,0,0,15.8467,
0.192357,2.2301,0.65042,-0.0421482,0.147752,-2.79957,2.79748,0,0,15.9131,
0.161106,2.23316,0.650962,-0.047889,0.129673,-2.78287,2.78063,0,0,15.9551,
0.145626,2.23453,0.650635,-0.031698,0.123957,-2.78026,2.77905,0,0,15.9668,
0.137734,2.23563,0.650679,-0.0450854,0.123833,-2.77224,2.77026,0,0,15.981,
0.129811,2.23622,0.650726,-0.0419116,0.129641,-2.76109,2.75927,0,0,15.9924,
0.121788,2.23724,0.65017,-0.054977,0.13116,-2.76803,2.76538,0,0,16.0047,
0.106127,2.23806,0.65082,-0.0477954,0.116744,-2.75294,2.75094,0,0,16.0171,
0.10069,2.23841,0.650803,-0.0569291,0.121403,-2.75038,2.74782,0,0,16.0294,
0.10069,2.23841,0.650803,-0.0569291,0.121403,-2.75038,2.74782,0,0,16.0398,
0.0742762,2.23978,0.650571,-0.0171488,0.147009,-2.74761,2.74745,0,0,16.0564,
0.0689531,2.24032,0.650272,-0.0265276,0.1419,-2.73931,2.73849,0,0,16.0742,
0.0510187,2.24142,0.650289,-0.0493042,0.124819,-2.72337,2.72125,0,0,16.0915,
0.0357875,2.24163,0.649968,-0.0764259,0.108667,-2.71546,2.71227,0,0,16.109,
0.0305269,2.24175,0.649847,-0.0653478,0.1178,-2.71673,2.71386,0,0,16.1243,
0.0122867,2.24214,0.649601,-0.0458192,0.124916,-2.70958,2.70769,0,0,16.1428,
-0.00326279,2.24284,0.649297,-0.0480273,0.118197,-2.69653,2.69461,0,0,16.1637,
-0.0177895,2.24307,0.649632,-0.0781723,0.127398,-2.69662,2.6929,0,0,16.1833,
-0.0330846,2.24329,0.648904,-0.0663978,0.109573,-2.67854,2.67587,0,0,16.1988,
-0.0409499,2.24322,0.649301,-0.0601595,0.102917,-2.67407,2.67182,0,0,16.2097,
-0.0635791,2.24359,0.648592,-0.0602666,0.113114,-2.6656,2.66319,0,0,16.2397,
-0.0735317,2.24328,0.648215,-0.0626782,0.116338,-2.65973,2.65715,0,0,16.2515,
-0.0785709,2.24313,0.648007,-0.0621198,0.118514,-2.65871,2.65613,0,0,16.2635,
-0.0936498,2.24243,0.647789,-0.0640168,0.127056,-2.64755,2.64476,0,0,16.2813,
-0.108325,2.24094,0.648289,-0.00195623,0.121371,-2.63137,2.63221,0,0,16.3002,
-0.123521,2.24085,0.647872,-0.0383039,0.129181,-2.62047,2.61921,0,0,16.3186,
-0.131008,2.24041,0.647645,-0.0399475,0.133555,-2.61551,2.61415,0,0,16.3305,
-0.133564,2.24027,0.647755,-0.0358182,0.14093,-2.61326,2.61217,0,0,16.347,
-0.161273,2.23816,0.646932,-0.00249479,0.160963,-2.60448,2.60606,0,0,16.3682,
-0.168935,2.23703,0.647147,-0.00962799,0.159352,-2.59088,2.59192,0,0,16.3852,
-0.183696,2.23667,0.64693,-0.00866943,0.1636,-2.57968,2.5809,0,0,16.3983,
-0.198681,2.23468,0.646542,-0.0320475,0.155862,-2.55517,2.55459,0,0,16.4181,
