0212_4_uav.csv
x,y,z,r,p,y,ori,ms,dpth,t
-1.31081,-0.606021,0.423784,0.702645,3.05832,3.12695,2.43899,0,0,22.5432,
-1.31229,-0.603821,0.423615,0.676656,3.02198,3.12031,2.46496,0,0,22.5606,
-1.31403,-0.601787,0.424068,0.690478,3.025,3.13747,2.4521,0,0,22.5767,
-1.31622,-0.599629,0.423659,0.69462,3.0363,3.12511,2.44713,0,0,22.5922,
-1.31914,-0.596138,0.423371,0.698569,3.05196,3.11245,2.44253,0,0,22.606,
-1.32187,-0.59341,0.422748,0.698552,3.0362,3.11625,2.44278,0,0,22.6237,
-1.32395,-0.59108,0.422667,0.699602,3.03561,3.12503,2.44216,0,0,22.6377,
-1.3266,-0.588358,0.422634,0.701322,3.03843,3.12599,2.44046,0,0,22.656,
-1.32986,-0.585211,0.422404,0.701984,3.04379,3.12728,2.4398,0,0,22.6764,
-1.33301,-0.582012,0.422279,0.702471,3.03987,3.12403,2.4392,0,0,22.6941,
-1.33583,-0.578431,0.422741,0.71033,3.04516,3.12998,2.43158,0,0,22.7124,
-1.33725,-0.577344,0.421999,0.701299,3.05108,3.11192,2.43978,0,0,22.7258,
-1.33725,-0.577344,0.421999,0.701299,3.05108,3.11192,2.43978,0,0,22.7446,
-1.34311,-0.571467,0.421946,0.697641,3.06597,3.10265,2.44314,0,0,22.7582,
-1.34582,-0.568828,0.421647,0.700971,3.04983,3.1057,2.43986,0,0,22.7741,
-1.34905,-0.565675,0.421645,0.699367,3.05426,3.10652,2.4415,0,0,22.7911,
-1.35063,-0.56399,0.421574,0.699484,3.05544,3.10302,2.44126,0,0,22.8066,
-1.35269,-0.561974,0.421567,0.704086,3.05944,3.0924,2.43633,0,0,22.8197,
-1.35628,-0.55914,0.422506,0.698329,3.07189,3.09843,2.44237,0,0,22.8321,
-1.35674,-0.558659,0.422446,0.69967,3.06877,3.09464,2.4409,0,0,22.8498,
-1.36064,-0.554317,0.422201,0.703875,3.06204,3.07705,2.43611,0,0,22.8653,
-1.36289,-0.551652,0.421678,0.704239,3.06924,3.07836,2.43591,0,0,22.8844,
-1.36588,-0.548615,0.421674,0.700871,3.06586,3.07953,2.43925,0,0,22.9064,
-1.36856,-0.545629,0.421447,0.703757,3.06372,3.0834,2.43644,0,0,22.9205,
-1.37043,-0.543536,0.421413,0.699925,3.0663,3.08919,2.44046,0,0,22.9339,
-1.37173,-0.541707,0.421233,0.700898,3.07452,3.08224,2.43944,0,0,22.9471,
-1.3728,-0.541193,0.421621,0.695272,3.07733,3.09089,2.4453,0,0,22.9599,
-1.37495,-0.53795,0.420485,0.700716,3.06737,3.09067,2.43973,0,0,22.9764,
-1.37762,-0.5348,0.42014,0.696834,3.0659,3.09744,2.44379,0,0,22.9924,
