1130_4_led.csv
x,y,z,st_x,st_y,st_z,r,p,y,ori,ms,dpth,t
0.62905,1.35375,0.518174,0,0,0,0.00160082,-0.0245895,-2.61776,2.61778,0.0250092,1.93049,5.60327,
0.652485,1.38341,0.522098,0,0,0,-0.0205223,0.0135654,-2.50349,2.5034,0.0103669,1.9344,5.61739,
0.675171,1.40573,0.52496,0,0,0,-0.00676381,-0.00800399,-2.48588,2.48592,0.00873709,1.9344,5.63148,
0.674851,1.40439,0.525393,0,0,0,-0.00408901,-0.00617865,-2.49184,2.49186,0.00918269,1.9344,5.64938,
0.665653,1.39237,0.522234,0,0,0,-0.0056253,-0.0296715,-2.51989,2.52005,0.00864816,1.94386,5.66545,
0.650012,1.37931,0.524027,0,0,0,-0.00398571,0.0369412,-2.48202,2.48207,0.00922108,1.94738,5.683,
0.661125,1.38496,0.525005,0,0,0,-0.00053074,0.00614246,-2.53257,2.53257,0.00825095,1.95017,5.69921,
0.656824,1.38158,0.528195,0,0,0,-0.0138073,0.0836359,-2.51632,2.51632,0.00812268,1.95439,5.71553,
0.669333,1.39274,0.526038,0,0,0,-0.0103119,0.0141633,-2.50831,2.50827,0.00817561,1.95439,5.73275,
0.67564,1.39223,0.52573,0,0,0,-0.0134777,0.0139622,-2.56395,2.56388,0.00852585,1.96043,5.7498,
0.687631,1.40833,0.528891,0,0,0,-0.0119384,0.0300434,-2.50126,2.50116,0.00816798,1.96043,5.76608,
0.705118,1.4293,0.532554,0,0,0,-0.00594739,0.0375525,-2.4559,2.45592,0.00795579,1.96665,5.78252,
0.697813,1.42478,0.531231,0,0,0,0.00458099,0.0227089,-2.41249,2.4126,0.0124078,1.97367,5.80656,
0.688527,1.40626,0.529976,0,0,0,-0.0139083,0.0472848,-2.49799,2.49786,0.0076983,1.97367,5.8182,
0.677048,1.39646,0.527628,0,0,0,-0.00333264,0.0264276,-2.47665,2.47667,0.00817609,1.97928,5.83446,
0.680485,1.39474,0.528472,0,0,0,-0.0122794,0.0462721,-2.51718,2.51708,0.0079205,1.98071,5.85073,
0.694637,1.4075,0.532329,0,0,0,-0.010504,0.0707022,-2.51919,2.51923,0.00896502,1.98562,5.86922,
0.721317,1.4379,0.535267,0,0,0,-0.00550259,0.0427067,-2.45605,2.4561,0.00723743,1.98777,5.88436,
0.706121,1.41974,0.532448,0,0,0,-0.0132532,0.051355,-2.48858,2.48847,0.00829697,1.99364,5.90157,
0.718846,1.42975,0.531242,0,0,0,-0.0137072,0.00318586,-2.5012,2.50119,0.0091188,1.99583,5.91944,
0.737997,1.45576,0.531108,0,0,0,0.011419,-0.057573,-2.39935,2.39935,0.00868249,2.00069,5.93602,
0.712218,1.42292,0.529238,0,0,0,0.000270608,-0.014849,-2.47107,2.47109,0.00780773,2.00069,5.95183,
0.706508,1.39795,0.535431,0,0,0,-0.0221287,0.0970284,-2.67663,2.67614,0.00901532,2.00069,5.96982,
0.714848,1.42021,0.52934,0,0,0,-0.00447702,-0.00700439,-2.50796,2.50798,0.00846505,2.00938,5.98502,
0.706418,1.41276,0.533299,0,0,0,-0.00262809,0.0638289,-2.48701,2.48727,0.00835776,2.01685,6.00193,
