1130_4_led.csv
x,y,z,r,p,y,ori,ms,dpth,t
0,4.79244e-322,4.68368e-310,-1.5708,0,0,1.5708,0.0206361,1.92715,6.35099,
0.629065,1.35375,0.518239,0.00161134,-0.0245907,-2.61778,2.6178,0.0325584,1.9344,6.38805,
0.675171,1.40573,0.52496,-0.00676381,-0.00800399,-2.48588,2.48592,0.0178592,1.9344,6.40897,
0.674777,1.40438,0.525498,-0.00403772,-0.00610737,-2.49183,2.49184,0.0185139,1.94386,6.43232,
0.665707,1.39235,0.522237,-0.0056302,-0.0296542,-2.51988,2.52004,0.0168273,1.94738,6.45197,
0.661025,1.385,0.525178,-0.000484828,0.00628327,-2.5325,2.5325,0.0180488,1.95083,6.47423,
0.656824,1.38158,0.528195,-0.0138073,0.0836359,-2.51632,2.51632,0.017467,1.95439,6.49511,
0.669883,1.39253,0.525059,-0.0109119,0.0133694,-2.50855,2.5085,0.0154049,1.96043,6.51325,
0.67564,1.39223,0.52573,-0.0134777,0.0139622,-2.56395,2.56388,0.0209844,1.96249,6.5372,
0.687477,1.40834,0.529327,-0.0117623,0.0303312,-2.50127,2.50117,0.0170581,1.96665,6.55851,
0.697813,1.42478,0.531231,0.00458099,0.0227089,-2.41249,2.4126,0.0171416,1.97367,6.58083,
0.688397,1.40633,0.530088,-0.0138175,0.047376,-2.4979,2.49777,0.020287,1.97928,6.60562,
0.680485,1.39474,0.528472,-0.0122794,0.0462721,-2.51718,2.51708,0.0155749,1.98071,6.62422,
0.694642,1.40746,0.532684,-0.0103011,0.0709973,-2.51925,2.5193,0.0180619,1.98777,6.64595,
0.721317,1.43789,0.535031,-0.00572413,0.0425025,-2.45601,2.45605,0.0166879,1.99138,6.66549,
0.705606,1.42001,0.53315,-0.0129885,0.0518361,-2.48823,2.48814,0.0160632,1.99583,6.68506,
0.719379,1.42942,0.530615,-0.0139601,0.00273433,-2.50154,2.50154,0.0177455,2.00069,6.70606,
0.712218,1.42292,0.529238,0.000270608,-0.014849,-2.47107,2.47109,0.0170381,2.00069,6.72746,
0.706407,1.39804,0.535496,-0.0220473,0.0970913,-2.67661,2.67612,0.0165195,2.00938,6.74651,
0.714848,1.42021,0.52934,-0.00447702,-0.00700439,-2.50796,2.50798,0.016783,2.00938,6.76546,
