1130_4_uav.csv
x,y,z,r,p,y,ori,ms,dpth,t
0.666184,1.36213,0.475813,-0.0857319,-0.059424,-2.47554,2.47902,0,0,14.7695,
0.667289,1.36284,0.47593,-0.0825874,-0.0605318,-2.47673,2.48013,0,0,14.8046,
0.670397,1.36462,0.476099,-0.0803171,-0.059102,-2.47758,2.48081,0,0,14.8247,
0.673739,1.3668,0.476272,-0.0917072,-0.0605727,-2.4745,2.47832,0,0,14.8521,
0.673739,1.3668,0.476272,-0.0917072,-0.0605727,-2.4745,2.47832,0,0,14.8865,
0.673739,1.3668,0.476272,-0.0917072,-0.0605727,-2.4745,2.47832,0,0,14.9202,
0.682018,1.37167,0.476994,-0.0901822,-0.057367,-2.47684,2.48041,0,0,14.9542,
0.682018,1.37167,0.476994,-0.0901822,-0.057367,-2.47684,2.48041,0,0,14.9879,
0.687464,1.37495,0.477391,-0.082878,-0.0604233,-2.47606,2.47947,0,0,15.0219,
0.691187,1.37709,0.477785,-0.0790951,-0.0569798,-2.47618,2.47925,0,0,15.0534,
0.691187,1.37709,0.477785,-0.0790951,-0.0569798,-2.47618,2.47925,0,0,15.0865,
0.696604,1.38028,0.478145,-0.0811765,-0.0566683,-2.4771,2.48025,0,0,15.1228,
0.696604,1.38028,0.478145,-0.0811765,-0.0566683,-2.4771,2.48025,0,0,15.1563,
0.701918,1.38359,0.478582,-0.0867399,-0.0589444,-2.47745,2.48095,0,0,15.1896,
0.701918,1.38359,0.478582,-0.0867399,-0.0589444,-2.47745,2.48095,0,0,15.2266,
0.708089,1.38731,0.479027,-0.0926149,-0.0578099,-2.47645,2.48016,0,0,15.26,
0.713013,1.39016,0.479507,-0.0796874,-0.0565667,-2.47703,2.48011,0,0,15.2949,
0.714255,1.39091,0.47956,-0.0816314,-0.0535555,-2.47578,2.47879,0,0,15.3261,
0.718535,1.39355,0.479837,-0.0825322,-0.0547561,-2.47522,2.47833,0,0,15.3606,
0.72036,1.39477,0.479947,-0.0901569,-0.053792,-2.47583,2.47921,0,0,15.3928,
0.725477,1.39766,0.480304,-0.0783496,-0.0562894,-2.47591,2.47892,0,0,15.4294,
0.727369,1.39882,0.480428,-0.0778943,-0.0536994,-2.477,2.47986,0,0,15.4616,
0.731637,1.40149,0.480621,-0.0866543,-0.0560992,-2.4774,2.48074,0,0,15.494,
0.731637,1.40149,0.480621,-0.0866543,-0.0560992,-2.4774,2.48074,0,0,15.5267,
0.731637,1.40149,0.480621,-0.0866543,-0.0560992,-2.4774,2.48074,0,0,15.5615,
0.739133,1.40615,0.481043,-0.0814675,-0.0563403,-2.47818,2.48132,0,0,15.5947,
0.742371,1.40817,0.481288,-0.0725171,-0.0545575,-2.47674,2.47943,0,0,15.6292,
0.745502,1.41014,0.481397,-0.0826336,-0.0559575,-2.47722,2.48039,0,0,15.6619,
0.751113,1.41373,0.481766,-0.0785742,-0.0543954,-2.47814,2.48106,0,0,15.6938,
0.751113,1.41373,0.481766,-0.0785742,-0.0543954,-2.47814,2.48106,0,0,15.7267,
0.754157,1.41567,0.481964,-0.0850212,-0.054457,-2.47644,2.47963,0,0,15.7597,
0.759824,1.41937,0.482335,-0.0797517,-0.0545429,-2.47813,2.48111,0,0,15.794,
0.759824,1.41937,0.482335,-0.0797517,-0.0545429,-2.47813,2.48111,0,0,15.8286,
0.765525,1.42317,0.482743,-0.0789383,-0.0551304,-2.47749,2.48047,0,0,15.8599,
0.768603,1.42519,0.482922,-0.0825168,-0.0551881,-2.47892,2.48205,0,0,15.8933,
0.768603,1.42519,0.482922,-0.0825168,-0.0551881,-2.47892,2.48205,0,0,15.9268,
0.773635,1.42871,0.483201,-0.0778257,-0.0567334,-2.47858,2.48159,0,0,15.9588,
0.778428,1.43202,0.483706,-0.0775134,-0.0539779,-2.47975,2.48261,0,0,15.9925,
0.781683,1.43424,0.483774,-0.081086,-0.0559481,-2.47945,2.48255,0,0,16.0309,
0.78841,1.43893,0.484172,-0.0722266,-0.0532001,-2.48106,2.48367,0,0,16.1139,
0.797037,1.44525,0.484723,-0.0768632,-0.0520637,-2.48042,2.48316,0,0,16.2064,
0.801271,1.44847,0.484751,-0.0855973,-0.0549433,-2.4813,2.48453,0,0,16.2363,
0.801858,1.44896,0.484826,-0.082355,-0.0525597,-2.48165,2.48463,0,0,16.2609,
0.801858,1.44896,0.484826,-0.082355,-0.0525597,-2.48165,2.48463,0,0,16.2969,
0.808658,1.45387,0.485236,-0.0794003,-0.0523359,-2.48373,2.48658,0,0,16.3295,
0.808658,1.45387,0.485236,-0.0794003,-0.0523359,-2.48373,2.48658,0,0,16.363,
0.812893,1.45728,0.485219,-0.0602267,-0.0499771,-2.48889,2.49092,0,0,16.3957,
0.812893,1.45728,0.485219,-0.0602267,-0.0499771,-2.48889,2.49092,0,0,16.4287,
0.819032,1.46178,0.485533,-0.0751364,-0.0518103,-2.4875,2.49015,0,0,16.4623,
0.829083,1.46993,0.485847,-0.0783803,-0.0507453,-2.48862,2.49134,0,0,16.5605,
0.836278,1.47579,0.486011,-0.0825361,-0.0514454,-2.48871,2.49163,0,0,16.6369,
0.840382,1.47918,0.486122,-0.0770938,-0.0506608,-2.48854,2.49121,0,0,16.674,
0.842086,1.48048,0.486185,-0.0796824,-0.0520079,-2.49143,2.49426,0,0,16.6988,
0.845526,1.48355,0.486253,-0.0799153,-0.0515427,-2.4908,2.49362,0,0,16.7318,
0.845526,1.48355,0.486253,-0.0799153,-0.0515427,-2.4908,2.49362,0,0,16.7655,
0.851347,1.48844,0.486336,-0.077401,-0.05219,-2.49298,2.49573,0,0,16.7972,
0.854724,1.49156,0.486357,-0.0793207,-0.0514127,-2.49347,2.49626,0,0,16.8339,
0.85635,1.49307,0.486528,-0.0785679,-0.052023,-2.49319,2.49597,0,0,16.8652,
0.859645,1.49601,0.486608,-0.0718727,-0.0517735,-2.49366,2.49618,0,0,16.8982,
0.861228,1.49752,0.486579,-0.061085,-0.0498268,-2.4985,2.50054,0,0,16.9329,
0.861228,1.49752,0.486579,-0.061085,-0.0498268,-2.4985,2.50054,0,0,16.9673,
0.866108,1.50209,0.486638,-0.0589645,-0.048218,-2.49952,2.50142,0,0,17.0012,
0.870566,1.5062,0.486774,-0.0780411,-0.0490455,-2.49377,2.4964,0,0,17.0358,
0.872156,1.50765,0.486733,-0.0854943,-0.0510784,-2.49411,2.49713,0,0,17.0677,
0.874842,1.51022,0.486712,-0.0785192,-0.0519109,-2.49565,2.49843,0,0,17.1022,
0.876738,1.51234,0.486651,-0.0624074,-0.047291,-2.49834,2.50033,0,0,17.1395,
0.881568,1.51691,0.486716,-0.0586221,-0.0477374,-2.49924,2.50111,0,0,17.1697,
0.883109,1.51846,0.486835,-0.079555,-0.0498457,-2.49542,2.49814,0,0,17.2018,
0.884491,1.52002,0.486785,-0.0757326,-0.0463614,-2.49783,2.50025,0,0,17.2429,
0.889245,1.52488,0.487026,-0.0649552,-0.046272,-2.49975,2.50178,0,0,17.272,
0.890712,1.52627,0.487172,-0.0790303,-0.0505842,-2.49754,2.50027,0,0,17.3019,
0.893531,1.52934,0.487243,-0.0905352,-0.051201,-2.49568,2.4989,0,0,17.3363,
